Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
bcspwr02,49,59,0.05,28,85,65,0.002
lns__131,131,275,0.032,40,239,173,0.032
pores_1,30,103,0.237,12,45,20,0.004
fs_541_3,541,2466,0.017,4,811,4,1.571
rdb200l,200,460,0.023,133,300,211,0.253
tub100,100,148,0.03,100,150,116,0.028
str____0,363,2446,0.037,34,635,319,0.872
gre_216b,216,660,0.028,96,324,212,0.218
sherman1,1000,1375,0.003,571,2144,1756,7.193
nos5,468,2352,0.022,81,702,306,3.513
fs_183_3,183,701,0.042,6,320,104,0.115
can___24,24,68,0.246,10,36,18,0.001
fidap002,441,13195,0.136,14,661,44,0.882
bp_____0,822,3260,0.01,12,1233,869,1.46
fidap001,216,2079,0.09,16,324,73,0.156
mcca,180,1680,0.104,11,270,151,0.141
dwt__492,492,1332,0.011,178,737,405,0.453
dwt__162,162,510,0.039,72,283,126,0.035
fs_183_1,183,701,0.042,6,320,104,0.116
add20,2395,7462,0.003,77,4191,3283,17.197
dwt__234,234,300,0.011,93,399,253,0.063
fidapm10,3046,25398,0.006,329,4569,910,81.78
fidap005,27,126,0.359,7,40,12,0.002
will199,199,660,0.034,56,298,164,0.12
lop163,163,598,0.045,72,244,130,0.105
will57,57,127,0.08,20,99,40,0.014
cdde4,961,1860,0.004,768,1441,1141,3.416
dwt__221,221,704,0.029,73,331,149,0.058
can__161,161,608,0.047,37,241,106,0.041
fs_760_2,760,3518,0.012,126,1140,522,3.709
dwt__503,503,2762,0.022,80,754,281,0.507
gre__512,512,1680,0.013,227,768,490,1.626
gr_30_30,900,3422,0.008,400,1350,627,5.418
bcspwr06,1454,1923,0.002,447,2544,1897,5.42
shl____0,663,1682,0.008,6,994,484,1.631
zenios,2873,12159,0.003,244,6397,4826,70.611
cavity03,317,4237,0.085,20,475,40,0.21
steam2,600,6580,0.037,85,900,188,2.311
ck400,400,1244,0.016,160,700,338,0.502
fidap014,3251,31698,0.006,351,4876,773,33.75
can__144,144,576,0.056,38,216,52,0.019
nos2,957,1590,0.004,765,1515,1207,6.724
can___96,96,336,0.074,42,144,65,0.012
ck104,104,444,0.083,41,156,48,0.016
fidap013,2568,36530,0.011,205,3852,428,21.936
curtis54,54,124,0.087,13,81,41,0.004
dwt__361,361,1296,0.02,160,541,252,0.307
bcsstk04,132,1758,0.203,11,198,36,0.058
lund_a,147,1151,0.107,28,220,54,0.169
str__400,363,3124,0.048,26,635,287,1.469
fs_541_4,541,2466,0.017,4,811,4,1.669
ck656,656,1628,0.008,262,1148,652,2.462
fidap029,2870,10442,0.002,1275,4573,2389,36.106
nos3,960,7442,0.016,213,1440,353,6.96
jagmesh8,1141,3162,0.005,652,1711,976,7.326
cavity02,317,4237,0.085,20,475,36,0.198
can___61,61,248,0.136,9,91,31,0.004
lshp1009,1009,2928,0.006,576,1513,833,6.352
e05r0300,236,2847,0.103,15,354,36,0.127
orsirr_1,1030,2914,0.006,316,1545,986,16.5
young3c,841,1671,0.005,420,1261,976,3.902
eris1176,1176,8688,0.013,47,2058,1180,1.816
cdde3,961,1860,0.004,768,1441,1142,4.125
rgg010,10,45,1.0,4,15,4,0.001
fidap012,3973,38089,0.005,429,5959,1061,59.621
sherman4,1104,1341,0.002,630,2493,2256,6.414
rdb200,200,460,0.023,133,300,204,0.303
can__229,229,774,0.03,70,343,169,0.075
plat362,362,2712,0.042,76,543,156,1.218
e05r0100,236,2847,0.103,15,354,36,0.126
ibm32,32,90,0.182,10,48,30,0.003
dwt__512,512,1495,0.011,136,854,490,0.487
blckhole,2132,6370,0.003,426,3214,1712,39.336
nos7,729,1944,0.007,416,1093,742,4.145
mbeause,492,36209,0.3,4,738,7,12.419
dwt___72,72,75,0.029,57,126,101,0.008
jagmesh1,936,2664,0.006,534,1404,787,5.21
e05r0200,236,2847,0.103,15,354,36,0.158
fs_183_6,183,701,0.042,6,320,104,0.112
olm500,500,997,0.008,333,750,445,0.622
gre_216a,216,660,0.028,96,324,207,0.186
cdde5,961,1860,0.004,768,1441,1113,4.446
cavity01,317,4237,0.085,20,475,40,0.206
fidap028,2603,37525,0.011,167,3904,352,21.516
fs_541_1,541,2466,0.017,4,811,4,1.665
ash292,292,958,0.022,83,438,197,0.216
fs_680_3,680,1464,0.006,194,1190,878,0.884
young2c,841,1624,0.005,672,1261,1001,4.779
utm300,300,2191,0.049,36,525,162,0.33
cdde2,961,1860,0.004,768,1441,1150,4.086
rbs480a,480,16408,0.143,12,720,87,7.494
saylr3,1000,1375,0.003,571,2144,1758,8.641
impcol_d,425,1267,0.014,106,637,388,1.495
can___73,73,152,0.058,32,109,73,0.006
cdde1,961,1860,0.004,768,1441,1142,4.11
impcol_e,225,1187,0.047,25,337,118,0.413
fs_183_4,183,701,0.042,6,320,104,0.115
dwt__198,198,597,0.031,66,299,159,0.057
str__200,363,3049,0.046,29,635,313,1.537
cavity04,317,4237,0.085,20,475,36,0.197
sstmodel,3345,9702,0.002,743,6622,4081,146.947
lund_b,147,1147,0.107,28,220,54,0.108
qh768,768,1322,0.004,219,1344,986,7.347
nos1,237,390,0.014,189,375,302,0.464
pores_3,532,1850,0.013,212,931,466,1.428
impcol_a,207,557,0.026,63,312,212,0.172
psmigr_1,3140,410781,0.083,4,4710,468,274.166
lshp_406,406,1155,0.014,232,609,336,2.153
662_bus,662,906,0.004,264,1158,808,0.689
gre__185,185,650,0.038,82,277,145,0.192
fidapm02,537,9352,0.065,23,805,133,3.188
e05r0400,236,2847,0.103,15,354,36,0.12
bcsstk02,66,2145,1.0,4,99,4,0.042
jgl011,11,49,0.891,4,16,4,0.001
hor__131,434,2138,0.023,42,651,273,1.889
nnc666,666,2148,0.01,156,1165,660,2.125
lshp_265,265,744,0.021,151,397,223,0.261
bp___400,822,4015,0.012,11,1233,780,1.179
dwt___66,66,127,0.059,44,115,60,0.005
fidap031,3909,55695,0.007,208,5863,1806,439.768
fidap004,1601,15343,0.012,173,2401,423,14.432
rw496,496,1423,0.012,248,744,410,3.375
fidap003,1821,25419,0.015,117,2731,334,11.692
gre_1107,1107,4557,0.007,369,1660,911,32.254
nos4,100,247,0.05,57,175,103,0.037
dwt__209,209,767,0.035,49,313,154,0.082
tols90,90,1449,0.362,4,135,4,0.037
watt__1,1856,4816,0.003,1060,3248,2036,49.58
dwt__346,346,1440,0.024,72,607,280,0.257
saylr1,238,445,0.016,190,357,281,0.32
dwt__245,245,608,0.02,75,428,255,0.063
jgl009,9,32,0.889,4,13,4,0.0
rdb450,450,1065,0.01,300,675,470,1.274
gent113,113,549,0.087,16,183,114,0.052
fidap024,2283,23225,0.009,198,3424,491,13.956
can___62,62,78,0.041,35,108,83,0.003
dwt__992,992,7876,0.016,220,1488,378,3.596
mcfe,765,15358,0.053,27,1146,180,4.625
young1c,841,1624,0.005,672,1261,998,8.192
olm100,100,197,0.04,66,150,84,0.02
cdde6,961,1860,0.004,768,1441,1140,2.306
dwt__419,419,1572,0.018,128,628,303,0.339
e05r0000,236,2847,0.103,15,354,36,0.126
bcspwr07,1612,2106,0.002,496,2821,2113,6.616
shl__400,663,1709,0.008,6,994,518,1.943
bcspwr04,274,669,0.018,68,479,301,0.09
bcsstk03,112,264,0.042,74,168,88,0.013
