Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
dwt__503,503,2762,0.0219,80,754,227,0.3151
gre__512,512,1680,0.0128,227,768,439,0.3543
gr_30_30,900,3422,0.0085,400,1350,439,0.9779
bcspwr06,1454,1923,0.0018,447,2544,1832,3.4236
shl____0,663,1682,0.0077,6,994,455,1.061
zenios,2873,12159,0.0029,244,6397,4745,18.7474
cavity03,317,4237,0.0846,20,475,36,0.1815
steam2,600,6580,0.0366,85,900,156,0.6745
ck400,400,1244,0.0156,160,700,324,0.1854
fidap014,3251,31698,0.006,351,4876,872,17.8181
can__144,144,576,0.0559,38,216,60,0.0419
nos2,957,1590,0.0035,765,1515,1090,0.8269
can___96,96,336,0.0737,42,144,48,0.0143
ck104,104,444,0.0829,41,156,52,0.0173
fidap013,2568,36530,0.0111,205,3852,576,10.3123
curtis54,54,124,0.0867,13,81,42,0.0059
dwt__361,361,1296,0.0199,160,541,210,0.1551
bcsstk04,132,1758,0.2033,11,198,32,0.0422
lund_a,147,1151,0.1073,28,220,50,0.0653
str__400,363,3124,0.0475,26,635,268,0.3891
fs_541_4,541,2466,0.0169,4,811,4,0.3561
ck656,656,1628,0.0076,262,1148,635,0.455
fidap029,2870,10442,0.0025,1275,4573,1836,8.1378
nos3,960,7442,0.0162,213,1440,302,1.2129
jagmesh8,1141,3162,0.0049,652,1711,926,2.2351
cavity02,317,4237,0.0846,20,475,36,0.1807
can___61,61,248,0.1355,9,91,31,0.0069
lshp1009,1009,2928,0.0058,576,1513,795,1.1479
e05r0300,236,2847,0.1027,15,354,40,0.1627
orsirr_1,1030,2914,0.0055,316,1545,896,1.6549
young3c,841,1671,0.0047,420,1261,891,1.5916
eris1176,1176,8688,0.0126,47,2058,1189,2.095
cdde3,961,1860,0.004,768,1441,1052,1.225
rgg010,10,45,1.0,4,15,4,0.0005
fidap012,3973,38089,0.0048,429,5959,1202,22.1077
sherman4,1104,1341,0.0022,630,2493,2183,1.598
rdb200,200,460,0.0231,133,300,195,0.0629
can__229,229,774,0.0296,70,343,169,0.0762
plat362,362,2712,0.0415,76,543,146,0.2301
e05r0100,236,2847,0.1027,15,354,36,0.1674
ibm32,32,90,0.1815,10,48,28,0.0029
dwt__512,512,1495,0.0114,136,854,472,0.3698
blckhole,2132,6370,0.0028,426,3214,1680,5.4734
nos7,729,1944,0.0073,416,1093,639,0.6626
mbeause,492,36209,0.2998,4,738,7,1.5119
dwt___72,72,75,0.0293,57,126,97,0.0073
jagmesh1,936,2664,0.0061,534,1404,781,1.0164
e05r0200,236,2847,0.1027,15,354,40,0.1481
fs_183_6,183,701,0.0421,6,320,174,0.0588
olm500,500,997,0.008,333,750,344,0.4256
gre_216a,216,660,0.0284,96,324,178,0.072
cdde5,961,1860,0.004,768,1441,1056,1.1677
cavity01,317,4237,0.0846,20,475,36,0.1819
fidap028,2603,37525,0.0111,167,3904,467,17.8632
fs_541_1,541,2466,0.0169,4,811,4,0.3181
ash292,292,958,0.0225,83,438,193,0.1416
fs_680_3,680,1464,0.0063,194,1190,915,0.9294
young2c,841,1624,0.0046,672,1261,920,1.4887
utm300,300,2191,0.0489,36,525,167,0.2782
cdde2,961,1860,0.004,768,1441,1037,1.1255
rbs480a,480,16408,0.1427,12,720,46,1.1681
saylr3,1000,1375,0.0028,571,2144,1691,1.4301
impcol_d,425,1267,0.0141,106,637,368,0.3449
can___73,73,152,0.0578,32,109,75,0.0133
cdde1,961,1860,0.004,768,1441,1051,1.2167
impcol_e,225,1187,0.0471,25,337,110,0.1272
fs_183_4,183,701,0.0421,6,320,174,0.0705
dwt__198,198,597,0.0306,66,299,116,0.0508
str__200,363,3049,0.0464,29,635,261,0.4938
cavity04,317,4237,0.0846,20,475,36,0.1811
sstmodel,3345,9702,0.0017,743,6622,3891,24.5209
lund_b,147,1147,0.1069,28,220,50,0.079
qh768,768,1322,0.0045,219,1344,845,0.9168
nos1,237,390,0.0139,189,375,274,0.0609
pores_3,532,1850,0.0131,212,931,444,0.3358
impcol_a,207,557,0.0261,63,312,199,0.0768
psmigr_1,3140,410781,0.0834,4,4710,396,130.399
lshp_406,406,1155,0.014,232,609,315,0.2465
662_bus,662,906,0.0041,264,1158,793,0.6966
gre__185,185,650,0.0382,82,277,142,0.0575
fidapm02,537,9352,0.065,23,805,100,0.6107
e05r0400,236,2847,0.1027,15,354,40,0.1581
bcsstk02,66,2145,1.0,4,99,4,0.0192
jgl011,11,49,0.8909,4,16,4,0.0007
hor__131,434,2138,0.0228,42,651,240,0.299
nnc666,666,2148,0.0097,156,1165,629,0.457
lshp_265,265,744,0.0213,151,397,205,0.0975
bp___400,822,4015,0.0119,11,1233,628,1.6578
dwt___66,66,127,0.0592,44,115,61,0.0067
fidap031,3909,55695,0.0073,208,5863,1817,47.8337
fidap004,1601,15343,0.012,173,2401,449,5.2309
rw496,496,1423,0.0116,248,744,400,0.4198
fidap003,1821,25419,0.0153,117,2731,432,5.2417
gre_1107,1107,4557,0.0074,369,1660,793,2.1819
nos4,100,247,0.0499,57,175,98,0.0202
dwt__209,209,767,0.0353,49,313,133,0.072
tols90,90,1449,0.3618,4,135,4,0.0485
watt__1,1856,4816,0.0028,1060,3248,1774,5.1832
dwt__346,346,1440,0.0241,72,607,259,0.1812
saylr1,238,445,0.0158,190,357,262,0.0959
dwt__245,245,608,0.0203,75,428,254,0.0962
jgl009,9,32,0.8889,4,13,4,0.0005
rdb450,450,1065,0.0105,300,675,435,0.2628
gent113,113,549,0.0868,16,183,106,0.0321
fidap024,2283,23225,0.0089,198,3424,576,9.4285
can___62,62,78,0.0412,35,108,84,0.0067
dwt__992,992,7876,0.016,220,1488,268,1.2046
mcfe,765,15358,0.0526,27,1146,180,1.2517
young1c,841,1624,0.0046,672,1261,914,1.4435
olm100,100,197,0.0398,66,150,72,0.0226
cdde6,961,1860,0.004,768,1441,1042,1.1235
dwt__419,419,1572,0.018,128,628,282,0.281
e05r0000,236,2847,0.1027,15,354,40,0.144
bcspwr07,1612,2106,0.0016,496,2821,2028,4.4512
shl__400,663,1709,0.0078,6,994,475,1.1363
bcspwr04,274,669,0.0179,68,479,282,0.1365
bcsstk03,112,264,0.0425,74,168,88,0.017
